Serial No.,TICKET MEDIO,GASTO MENSAL,SCORE SERASA
121,1159,2785,27
122,1822,19808,76
123,3414,7545,49
124,3257,2118,0
125,2725,11479,49
126,2829,9062,18
127,1697,12526,97
128,3160,8343,58
129,2793,10395,67
130,4991,12466,66
131,3727,18232,40
132,1463,5789,9
133,2081,19306,27
134,1763,19312,33
135,1629,3533,38
136,2138,9360,82
137,3402,8313,55
138,2337,18298,51
139,1406,14360,99
140,4129,14794,2
141,2775,4121,22
142,1382,17638,16
143,809,2847,70
144,4844,15382,25
145,4513,17610,17
146,3848,5423,45
147,4879,19533,69
148,763,16111,30
149,2098,15867,92
150,3545,19699,8
151,3843,9566,34
152,1595,3779,80
153,3404,19868,59
154,3863,4307,75
155,1953,14465,62
156,4759,16623,99
157,1391,17491,51
158,3681,1134,47
159,3557,13271,60
160,1736,17958,23
161,3796,18798,73
162,3099,14840,57
163,3252,1088,63
164,798,3731,29
165,2260,6851,28
166,4197,4338,9
167,4837,2473,38
168,954,14846,54
169,3574,5544,27
170,1807,10747,17
171,2877,12172,40
172,1833,10771,80
173,3610,7183,74
174,302,11744,64
175,3355,7283,80
176,4318,6094,99
177,4596,4322,99
178,866,3889,45
179,4489,6414,59
180,2427,18664,8
181,3031,4188,44
182,297,15183,59
183,2030,13580,27
184,3682,10416,96
185,708,5537,2
186,3372,13953,50
187,1247,9140,7
188,4382,581,69
189,3497,6778,58
190,2611,16578,60
191,1894,16036,57
192,759,18290,69
193,2911,7910,92
194,1469,16426,11
195,2086,16000,8
196,246,1980,48
197,3319,9771,82
198,3011,4098,16
199,1834,15532,53
200,1943,8493,43
201,588,11395,31
202,3076,15867,34
203,2059,8144,77
204,2485,12448,48
205,3019,18642,53
206,4836,3099,15
207,1902,6313,84
208,4161,4353,11
209,3469,19176,87
210,362,2001,97
211,723,8922,7
212,1116,8050,20
213,3743,4750,47
214,2149,7491,7
215,3823,16998,27
216,4648,4906,79
217,3208,19231,9
218,4190,1541,51
219,2156,7427,14
220,3270,16895,3
221,1782,8371,89
222,2355,6875,78
223,1254,4176,99
224,4599,13517,95
225,3291,3565,61
226,1796,2536,3
227,4091,3546,40
228,4823,17424,72
229,4782,576,98
230,1748,19951,54
231,1545,16380,27
232,4299,16907,46
233,4023,17559,8
234,353,4767,1
235,3283,6488,66
236,2657,9180,47
237,198,1985,68
238,2300,15213,73
239,3061,2919,27
240,4533,15812,78
241,3877,3995,13
242,2969,17640,45
243,3334,11216,86
244,3891,12942,12
245,1056,18663,15
246,4167,13461,93
247,260,10807,39
248,4593,6987,71
249,1400,10164,80
250,4087,16860,29
251,1627,17142,80
252,1318,4575,98
253,4596,18002,64
254,4835,15785,57
255,3204,8131,87
256,2835,3517,47
257,4655,18542,48
258,1054,18681,88
259,4665,1284,1
260,3546,6191,88
261,1145,16265,13
262,1793,3696,96
263,3536,10052,16
264,662,9032,30
265,2585,17446,9
266,3454,5246,69
267,325,3499,88
268,4993,18077,36
269,1059,11802,63
270,4648,16952,29
271,3167,16095,33
272,915,19312,17
273,4854,6700,87
274,4742,5896,62
275,3220,13910,48
276,116,13703,55
277,1343,4098,90
278,2305,11064,57
279,2624,13248,26
280,1169,17457,54
281,3544,8136,84
282,2665,18362,18
283,1160,10765,22
284,2427,10205,46
285,3520,14798,78
286,401,19080,65
287,4376,10203,98
288,706,13836,50
289,3270,8666,83
290,799,16616,27
291,1239,6550,56
292,290,11684,57
293,2400,13212,14
294,1080,8984,15
295,3075,3093,96
296,1284,10815,46
297,3427,15700,62
298,3494,9607,11
299,227,4369,42
300,2165,15947,83
301,1916,8471,28
302,669,3489,48
303,1995,5840,2
304,2833,10143,68
305,3963,4323,59
306,4821,13954,65
307,4114,4432,86
308,3001,10720,89
309,1786,9054,25
310,3109,2929,70
311,254,7944,73
312,2637,11010,68
313,1509,11777,46
314,4157,11037,75
315,884,7647,95
316,3275,8131,41
317,4441,4098,30
318,2906,4829,21
319,637,7218,16
320,1941,10423,83
321,2555,14282,19
322,624,16976,7
323,3050,551,97
324,4231,17202,48
325,4880,10684,86
326,4215,12968,37
327,2468,15979,52
328,3947,7710,27
329,4595,13434,76
330,2801,4456,28
331,1071,6557,71
332,1266,11710,10
333,2874,15090,46
334,2082,14364,44
335,953,2025,17
336,4246,13777,49
337,3836,7543,88
338,3869,18162,48
339,674,9205,21
340,3361,6625,44
341,1248,8374,60
342,1815,13029,98
343,4877,15455,92
344,3954,3000,20
345,2591,3964,70
346,2760,19143,60
347,3224,16454,75
348,3151,19543,35
349,104,755,23
350,4969,2002,31
351,976,5156,90
352,1091,10802,95
353,4242,5930,58
354,4464,9098,95
355,4565,16476,95
356,735,2360,89
357,1793,6658,74
358,1782,6306,81
359,4852,17606,4
360,219,9974,15
361,930,17497,10
362,3775,6290,34
363,1469,10670,74
364,840,9504,41
365,216,10478,86
366,2938,17214,97
367,1250,19096,80
368,2031,7732,9
369,1112,13174,81
370,1764,16552,7
371,1181,16274,25
372,4829,6413,2
373,612,14602,58
374,2949,15889,87
375,659,11067,2
376,3772,6111,37
377,4683,9932,1
378,3443,819,98
379,4170,13186,16
380,4899,5291,72
381,1570,829,35
382,680,9351,85
383,2394,11810,94
384,3247,10664,97
385,4349,18677,87
386,1779,6203,72
387,3606,11149,1
388,2844,13172,84
389,3456,4655,33
390,4145,3111,26
391,1343,19477,36
392,3218,16979,70
393,2241,9680,21
394,3159,9804,67
395,4648,15110,13
396,3059,8937,97
397,2365,10850,22
398,2579,13021,43
399,4746,7060,88
400,1735,5747,64
401,1857,4577,78
402,4552,11358,95
403,2170,11891,77
404,2949,11446,60
405,3351,15686,84
406,3830,1917,54
407,2589,16994,70
408,1731,9454,99
409,2916,14091,84
410,1115,7891,49
411,1448,11864,11
412,4711,10871,78
413,3187,3004,14
414,2939,5739,16
415,435,17176,33
416,4692,18618,34
417,995,5620,38
418,3646,6893,77
419,951,2696,54
420,1787,3966,58
421,2031,2406,4
422,3846,18605,29
423,2527,12383,3
424,1668,15937,14
425,4100,14997,34
426,2838,2316,73
427,3598,11213,54
428,4013,4349,65
429,1166,7349,59
430,4480,1558,23
431,2544,12230,91
432,4207,19206,21
433,3473,17832,43
434,4069,4859,31
435,2646,13309,94
436,853,6160,82
437,2182,7754,50
438,2874,13322,84
439,2996,2593,2
440,4285,12230,69
441,875,18447,31
442,1725,8717,1
443,3169,17058,87
444,517,18218,58
445,214,17205,90
446,716,12842,72
447,4074,12739,76
448,3367,14354,13
449,925,14397,50
450,1616,11919,10
451,3246,10564,77
452,512,15503,79
453,828,10759,9
454,3448,6174,83
455,2908,5502,79
456,775,1410,57
457,3565,1449,33
458,2604,19398,79
459,3067,12023,77
460,2886,11721,52
461,1222,16984,27
462,4179,5146,17
463,1671,7445,25
464,2243,2900,6
465,1787,12063,44
466,4232,19227,97
467,3951,852,44
468,3540,19839,70
469,3866,15989,96
470,2426,1518,34
471,3014,18063,51
472,4052,5693,20
473,695,16201,27
474,828,4036,95
475,1465,15949,43
476,4592,12342,79
477,798,19386,55
478,495,4319,9
479,4271,17863,22
480,4460,1476,47
481,2602,19164,51
482,1919,6397,14
483,817,16457,54
484,2882,15859,42
485,3677,13740,49
486,243,607,5
487,3240,16024,32
488,4591,2126,61
489,3038,6729,54
490,3736,7377,38
491,3322,1374,11
492,1267,6043,99
493,2716,4309,30
494,1162,11103,73
495,2256,2607,52
496,3082,12245,33
497,3394,9965,40
498,4829,1059,9
499,1256,8808,51
500,832,15750,74
501,4430,13755,56
502,4946,3546,77
503,1053,14356,2
504,2639,16927,56
505,3424,1008,32
506,3401,6607,6
507,1642,13976,3
508,1291,3939,38
509,3093,13636,47
510,2781,14667,73
511,1317,17800,78
512,1640,17682,15
513,3336,5471,37
514,2486,18644,3
515,3819,16383,3
516,1488,1318,99
517,1956,10860,26
518,1465,12427,85
519,599,16523,85
520,1780,3565,16
521,610,3759,97
522,4412,17790,95
523,1424,12800,69
524,1255,1102,53
525,1927,4795,96
526,3241,10483,7
527,3586,4027,52
528,1910,2311,99
529,3023,12603,4
530,2314,9532,68
531,4286,13377,46
532,813,8463,73
533,3702,15724,39
534,4234,9416,6
535,3622,7266,11
536,4368,17686,93
537,4848,19466,24
538,4949,2165,27
539,1343,16432,42
540,3809,7475,76
541,1181,3052,46
542,555,13719,48
543,994,14774,85
544,1484,13112,53
545,2058,3308,17
546,3172,11590,26
547,2096,12760,71
548,4385,15795,5
549,604,15337,74
550,1314,15169,92
551,1631,11023,68
552,3540,13262,70
553,923,14269,21
554,1028,14231,58
555,233,12377,46
556,2205,2956,67
557,3727,5923,31
558,4880,14746,82
559,1952,13346,96
560,4275,4817,0
561,3033,18440,53
562,3384,19089,45
563,4398,13135,40
564,2911,13970,40
565,1350,13676,7
566,3612,9613,31
567,1356,14046,29
568,3476,7305,45
569,3586,17288,91
570,3684,18504,51
571,1496,19836,95
572,3737,8580,88
573,3430,3618,97
574,2803,7130,60
575,570,1065,96
576,1453,16201,12
577,2883,15359,88
578,2931,8170,39
579,457,19752,60
580,3119,9976,43
581,767,9276,61
582,4568,15521,43
583,1245,4827,47
584,4285,15775,73
585,3819,8114,58
586,2845,1745,56
587,639,8743,94
588,2879,10855,10
589,4236,1037,24
590,4935,16424,60
591,3875,16736,45
592,2608,17424,53
593,2879,17698,33
594,1024,1915,83
595,3056,11530,6
596,1681,2152,96
597,3424,11357,61
598,4585,19240,56
599,355,4310,98
600,4904,17069,92
601,1938,2051,75
602,2044,14084,4
603,109,1261,75
604,2971,13011,92
605,897,9971,34
606,1115,12967,83
607,1924,6663,36
608,4569,16565,59
609,3236,12386,64
610,2293,18420,15
611,323,6701,29
612,4258,16080,72
613,4025,19654,41
614,4884,7899,60
615,4100,17445,73
616,1733,8123,76
617,2252,10827,47
618,610,7687,61
619,484,2680,83
620,504,2460,92
621,4713,5653,63
622,4671,7535,56
623,2100,11971,67
624,2856,1082,45
625,1768,16014,27
626,1560,16031,76
627,3736,17172,2
628,2824,8479,36
629,4909,3560,47
630,4278,14231,18
631,2148,12794,91
632,4246,18067,82
633,4880,14774,16
634,816,18330,81
635,4644,16848,81
636,4683,2403,86
637,1923,15051,39
638,2181,15641,49
639,3519,2877,72
640,1674,1347,28
641,349,14880,50
642,773,18123,41
643,4633,10024,28
644,2265,15731,65
645,870,12198,16
646,4062,11071,30
647,4463,12814,91
648,2084,11929,51
649,1177,2865,38
650,335,11104,59
651,488,11866,93
652,3137,5555,98
653,4958,6122,50
654,1948,17256,83
655,4819,8283,15
656,2914,2449,97
657,3474,17128,13
658,3378,10532,89
659,1352,12119,83
660,4081,17008,41
661,4773,13324,50
662,2222,11445,23
663,4630,2419,81
664,2250,10327,42
665,4959,10117,72
666,1429,10232,18
667,1458,1030,83
668,2582,8349,60
669,4642,7429,93
670,2117,4849,62
671,1431,14956,25
672,4444,11795,94
673,4361,18685,34
674,1458,5656,66
675,4737,9728,55
676,4954,12420,39
677,3277,7932,28
678,2228,12703,5
679,2280,6689,51
680,4992,1642,0
681,237,8114,51
682,3572,14753,23
683,2932,18513,33
684,3679,17646,6
685,3131,7405,74
686,4264,5389,10
687,2693,5339,35
688,4400,4457,19
689,3918,1057,62
690,4238,5121,79
691,3923,15432,62
692,4142,1339,68
693,2006,9743,87
694,860,10096,29
695,3545,7498,29
696,999,10629,96
697,4555,1010,83
698,3047,12096,21
699,1819,13474,60
700,380,1637,20
701,3366,14200,36
702,1987,5166,26
703,3366,9406,34
704,766,10978,37
705,4288,3154,59
706,771,1490,69
707,2069,2660,31
708,4256,15636,79
709,3222,10836,91
710,4799,14769,79
711,4877,16706,26
712,4000,2563,2
713,623,11295,48
714,2493,18861,84
715,3217,9067,29
716,2693,9433,21
717,2068,19551,18
718,1853,16119,30
719,2396,5419,19
720,2361,12241,18
721,2386,9298,1
722,4302,17427,39
723,2978,15066,38
724,4243,1383,90
725,3744,9915,71
726,4532,11585,53
727,2155,15508,26
728,4820,18952,78
729,1376,8620,11
730,2866,8320,77
731,402,12401,70
732,738,18670,16
733,155,16759,89
734,4921,10149,83
735,625,8769,9
736,4669,12305,18
737,4223,18192,81
738,2225,10879,29
739,3387,9244,29
740,464,13785,24
741,4721,8973,87
742,1746,11179,73
743,1018,15105,65
744,2897,11485,95
745,1631,12891,34
746,3445,5361,50
747,2006,19660,70
748,3186,2096,70
749,4680,17363,26
750,2175,10655,9
751,813,8419,96
752,1162,10834,42
753,2076,15128,54
754,1396,2572,70
755,225,9987,5
756,4732,6124,5
757,3696,1438,76
758,3383,8676,47
759,1703,1261,76
760,166,13441,1
761,332,2169,82
762,2256,7628,50
763,1269,19569,60
764,2258,12591,18
765,4306,18815,1
766,1593,7808,50
767,4818,1626,25
768,4107,6521,69
769,2572,6937,19
770,2760,7539,22
771,2839,18087,53
772,1861,4635,14
773,3614,15611,5
774,2075,12464,91
775,2462,9211,34
776,976,8404,74
777,3912,2783,7
778,3548,2977,56
779,1412,3593,49
780,1560,7707,48
781,2809,9894,87
782,2424,15341,20
783,1833,6727,35
784,1705,13780,70
785,2663,4035,68
786,3521,11082,57
787,3617,3413,62
788,2497,2840,92
789,3835,5789,15
790,2970,1097,5
791,1260,15525,77
792,4954,7645,51
793,342,3402,1
794,2690,9455,88
795,1163,8194,94
796,4424,5330,76
797,2695,10334,17
798,1019,10989,80
799,105,16268,91
800,567,10864,75
801,4270,2660,34
802,103,13768,85
803,745,14985,38
804,217,3422,0
805,3028,4304,36
806,2651,2868,20
807,4389,15657,0
808,946,8593,3
809,2862,4432,95
810,1241,12052,57
811,1910,6108,0
812,823,13399,12
813,324,9792,45
814,4727,10362,46
815,4308,6031,80
816,4754,10912,75
817,2148,6844,6
818,4849,17259,50
819,4515,8387,2
820,1673,18493,49
821,1928,16658,25
822,2017,19823,30
823,4334,18497,99
824,2126,4179,61
825,3844,8040,25
826,1001,9988,66
827,4885,7574,54
828,2139,4496,27
829,109,6195,43
830,360,14735,80
831,1773,2866,37
832,2319,14664,29
833,2160,7264,65
834,3813,16027,7
835,1719,16792,13
836,420,2114,98
837,1442,14896,61
838,2476,19300,74
839,2932,17380,62
840,2924,17388,78
841,2094,6233,65
842,3058,3716,95
843,2138,4864,39
844,3590,12769,12
845,3777,18361,16
846,1218,14329,14
847,1704,5460,32
848,4127,19281,15
849,335,8801,12
850,2069,9341,85
851,4529,8230,22
852,2008,18383,35
853,475,17479,42
854,3630,1478,49
855,2735,1230,73
856,1670,556,80
857,2660,2743,93
858,3491,2201,12
859,3065,18170,29
860,3743,8803,56
861,3950,15600,29
862,972,13498,70
863,1352,9893,9
864,1414,1447,98
865,4920,7053,65
866,2998,1257,93
867,177,15366,82
868,2721,12080,38
869,4327,6151,36
870,700,7773,2
871,1165,10533,88
872,2236,4035,33
873,2549,19177,85
874,2443,17988,37
875,1963,9353,13
876,1418,1408,63
877,4811,5117,38
878,3697,10548,53
879,3862,2811,1
880,4770,16520,95
881,2290,17673,42
882,1092,14085,52
883,2812,14517,2
884,2292,17055,40
885,1348,13052,7
886,3154,13837,89
887,4698,2385,95
888,4133,1549,74
889,2097,11003,62
890,3787,1661,64
891,2251,1315,78
892,4118,4266,3
893,3210,3739,67
894,2070,14442,91
895,297,8772,9
896,2726,19688,74
897,1302,1369,49
898,2135,6026,22
899,577,8241,60
900,1354,5194,46
901,1022,2434,2
902,519,17587,16
903,2304,16818,21
904,2697,19407,90
905,1220,19523,15
906,3168,6659,79
907,1050,16219,2
908,2436,13493,51
909,2343,14313,32
910,2745,1664,41
911,1957,1119,1
912,4712,8482,38
913,1965,3566,45
914,3012,9138,47
915,2953,2837,26
916,3328,6094,14
917,3819,2960,6
918,3328,7320,56
919,2471,3942,41
920,2991,16691,8
921,3856,19595,5
922,4325,16826,56
923,194,11029,75
924,2774,18175,29
925,2055,10890,54
926,893,14530,83
927,1934,5874,83
928,2216,13642,53
929,4206,19539,26
930,3425,12704,83
931,3019,7894,58
932,2697,17588,6
933,3305,1325,39
934,4907,9696,93
935,914,12152,71
936,445,17260,1
937,2449,1472,13
938,462,11768,9
939,2543,943,49
940,2365,1254,17
941,2288,16523,17
942,3105,10863,15
943,3381,11397,51
944,1084,5896,68
945,1739,3965,51
946,927,3211,30
947,2830,19291,83
948,3631,6247,22
949,4551,18607,95
950,3035,2419,41
951,3976,17802,80
952,226,13973,61
953,3277,17465,76
954,3156,14735,49
955,703,16210,76
956,3549,14934,80
957,4246,13978,14
958,3633,4381,89
959,3467,2499,43
960,3468,15349,91
961,3897,11403,41
962,1892,17284,44
963,2961,15200,93
964,3576,5945,34
965,3517,3128,21
966,1745,18540,73
967,1305,17504,74
968,3130,746,37
969,2972,5712,96
970,3172,3839,69
971,1954,19894,63
972,4121,2868,6
973,4762,12686,43
974,2808,2339,75
975,3602,19787,6
976,1432,6705,65
977,301,4895,59
978,3607,15790,0
979,4312,4191,61
980,674,7970,86
981,636,4341,88
982,1725,4848,17
983,2222,18276,6
984,485,6560,53
985,3381,16025,66
986,574,4800,92
987,517,3838,9
988,3700,5987,60
989,1054,4014,58
990,4958,17643,58
991,1305,11780,68
992,4859,10807,62
993,4220,10415,97
994,2090,11658,7
995,4905,9121,77
996,3672,11047,54
997,4480,13985,5
998,4258,2959,0
999,4857,5773,55
1000,2813,18602,96
1001,2303,9957,74
1002,3220,5923,87
1003,1066,18192,9
1004,3532,17934,22
1005,788,5979,15
1006,4343,15919,15
1007,3801,2749,55
1008,441,3309,94
1009,1824,3421,5
1010,4522,5176,29
1011,1892,2917,62
1012,1859,17416,0
1013,3312,13963,50
1014,1089,8667,88
1015,2362,1969,45
1016,2582,7792,20
1017,1051,7431,98
1018,822,1591,37
1019,3489,16863,68
1020,2179,760,62
1021,2817,10956,49
1022,2432,13935,11
1023,3476,9877,68
1024,4624,16313,72
1025,1600,4801,43
1026,385,7707,51
1027,3595,16976,8
1028,2165,9056,98
1029,868,14295,64
1030,3157,6625,9
1031,4389,2424,45
1032,2261,19979,99
1033,3393,7183,57
1034,1046,19422,36
1035,3435,19160,51
1036,4250,13831,98
1037,4995,10445,80
1038,4973,17794,12
1039,1581,806,5
1040,2001,4731,57
1041,3551,6528,47
1042,4164,12707,31
1043,154,7158,10
1044,1923,6836,80
1045,3562,14396,4
1046,3179,10130,5
1047,932,17756,73
1048,4508,1641,96
1049,2906,17549,93
1050,2590,8900,20
1051,427,1451,41
1052,3410,9749,80
1053,3400,13436,26
1054,3775,14955,2
1055,3154,5222,59
1056,2243,13312,92
1057,1411,4508,65
1058,3291,10560,92
1059,2638,13556,48
1060,4083,7155,99
1061,4647,17655,33
1062,264,13527,36
1063,4377,4530,41
1064,922,1021,64
1065,1043,1900,59
1066,4525,12430,89
1067,874,4223,0
1068,2298,7079,58
1069,3256,18742,3
1070,4342,5281,13
1071,3795,13373,17
1072,3552,19282,33
1073,1014,17026,0
1074,1408,11543,52
1075,4277,16875,21
1076,613,17601,79
1077,2020,1142,60
1078,3694,19432,21
1079,4941,12385,49
1080,1509,8049,15
1081,4902,13897,27
1082,4666,15574,91
1083,3290,14271,85
1084,4591,1449,69
1085,1655,17405,88
1086,904,15232,41
1087,1379,17238,65
1088,3677,18366,70
1089,3001,10339,80
1090,1487,13323,34
1091,4788,19099,19
1092,2861,19421,1
1093,2779,15190,6
1094,2206,6839,95
1095,4323,11456,48
1096,4931,4265,82
1097,2868,3327,75
1098,4053,2558,8
1099,3286,12019,26
1100,3380,1230,77
1101,2673,2332,1
1102,4716,9100,84
1103,2699,16118,67
1104,4133,7670,59
1105,336,4679,84
1106,1404,6799,85
1107,3530,8330,48
1108,1401,11939,1
1109,2641,5302,16
1110,2151,7115,82
1111,541,7262,87
1112,2176,6043,19
1113,3280,5383,75
1114,2757,16239,88
1115,3898,1166,86
1116,904,776,97
1117,174,14563,31
1118,2275,1381,50
1119,4024,2560,87
1120,2189,15177,41
1121,140,18966,62
1122,2181,7202,88
1123,4783,9929,60
1124,1722,16353,61
1125,441,658,2
1126,4152,16496,88
1127,2174,5729,91
1128,745,8456,75
1129,4926,13066,25
1130,4363,3026,47
1131,709,8303,7
1132,554,7074,4
1133,3053,9233,10
1134,1808,18022,41
1135,3572,7757,98
1136,3069,3783,90
1137,3128,16409,40
1138,4897,12302,18
1139,2781,8396,47
1140,3729,19303,52
1141,4325,14026,54
1142,3167,18640,60
1143,1486,11778,31
1144,3876,13742,45
1145,2966,19190,91
1146,4888,3070,35
1147,3463,824,17
1148,4989,10221,73
1149,4224,6145,95
1150,248,18829,17
1151,3950,14904,11
1152,2158,4986,71
1153,1236,2930,96
1154,286,17729,45
1155,2954,13656,54
1156,1350,1067,37
1157,1433,2679,77
1158,4293,2519,1
1159,4250,16419,8
1160,2811,19204,4
1161,4953,18530,97
1162,4601,4409,18
1163,1885,8515,70
1164,850,3920,38
1165,1862,15385,41
1166,4020,17240,16
1167,4560,7985,62
1168,581,19965,89
1169,253,19164,45
1170,1624,4631,90
1171,2220,11152,91
1172,2443,14879,19
1173,1340,15403,69
1174,160,16413,7
1175,1038,19671,95
1176,1739,9970,18
1177,4220,17349,31
1178,4326,12040,18
1179,3669,18371,23
1180,1352,5097,23
1181,4303,5036,55
1182,271,17209,80
1183,1558,10457,17
1184,3649,4662,11
1185,4297,803,40
1186,2422,5567,86
1187,1736,5524,47
1188,3215,8215,81
1189,4190,11726,63
1190,3104,3131,15
1191,429,13912,79
1192,3740,15537,99
1193,3994,12147,22
1194,4207,13069,85
1195,1441,2869,38
1196,3763,12159,32
1197,315,1028,23
1198,438,11002,60
1199,4162,5175,54
1200,2808,18547,60
1201,3252,2841,83
1202,1850,14419,96
1203,2521,15230,94
1204,809,15756,39
1205,3826,5405,57
1206,3742,16039,71
1207,4093,15755,73
1208,588,9384,0
1209,146,9643,84
1210,3459,6450,24
1211,4973,1860,95
1212,4906,5627,52
1213,500,14752,60
1214,4090,9230,45
1215,3257,4425,73
1216,4445,8963,59
1217,490,17912,50
1218,3953,1742,72
1219,4530,9284,83
1220,728,10297,47
1221,4332,6906,83
1222,3030,14465,39
1223,1621,14233,6
1224,926,18324,74
1225,4922,4126,84
1226,1600,10574,18
1227,3394,17068,14
1228,2519,8531,69
1229,1034,3688,60
1230,3142,3445,55
1231,4597,7265,9
1232,1566,19358,45
1233,3661,11307,79
1234,714,10704,74
1235,1282,9852,56
1236,3323,5099,34
1237,2767,4813,71
1238,230,2718,91
1239,3083,14286,2
1240,4378,18036,65
1241,4559,556,52
1242,138,13033,77
1243,4059,643,51
1244,3687,7718,92
1245,1020,9059,52
1246,2869,1115,53
1247,4211,8562,46
1248,592,12020,2
1249,1231,6477,64
1250,3621,11919,14
1251,410,10280,83
1252,838,11181,85
1253,3341,7484,33
1254,645,5471,49
1255,2561,1444,32
1256,4446,9614,72
1257,4954,7578,2
1258,1904,18630,1
1259,3312,12812,3
1260,3910,6283,15
1261,913,10251,53
1262,4224,7407,32
1263,2132,19810,8
1264,4672,17973,56
1265,4513,3457,39
1266,344,19496,51
1267,4943,6547,81
1268,4892,6749,15
1269,371,16847,7
1270,3611,4259,86
1271,1871,4763,59
1272,1362,10781,35
1273,2524,2402,2
1274,4461,3067,14
1275,1020,10690,96
1276,3530,8575,81
1277,4535,3494,22
1278,4584,5729,2
1279,2724,2510,29
1280,3860,7877,44
1281,2150,13536,16
1282,3600,17714,57
1283,1265,548,57
1284,475,4710,95
1285,2133,18062,56
1286,245,15338,6
1287,4488,16538,38
1288,531,8378,77
1289,804,16954,57
1290,2732,15847,55
1291,4594,8379,14
1292,1063,18661,43
1293,2334,13754,11
1294,2141,7880,7
1295,1928,2728,79
1296,2208,10314,40
1297,4168,9388,33
1298,1038,6891,45
1299,4905,9929,87
1300,906,19290,28
1301,1563,1137,15
1302,3515,17833,4
1303,110,10596,4
1304,1968,4087,29
1305,4967,1611,49
1306,984,8867,4
1307,3664,1222,12
1308,1489,5366,98
1309,3501,10639,48
1310,4421,17586,88
1311,924,2628,49
1312,2365,9618,13
1313,1036,3017,45
1314,2900,18033,89
1315,2653,14728,81
1316,3945,14679,83
1317,1896,18762,33
1318,153,10175,70
1319,826,809,46
1320,2836,4452,59
1321,3270,19933,73
1322,2013,14371,78
1323,1696,10192,80
1324,2014,515,10
1325,2566,17489,97
1326,2837,16505,90
1327,949,14778,84
1328,2209,15317,94
1329,102,10259,49
1330,4355,16164,3
1331,4169,6912,40
1332,4976,10696,58
1333,992,9007,59
1334,2130,5320,80
1335,3260,8335,61
1336,2476,2349,83
1337,4775,14087,24
1338,2033,2453,86
1339,1480,19653,78
1340,3781,13231,32
1341,1390,19930,18
1342,1740,7340,56
1343,2782,5566,14
1344,1087,2915,40
1345,1318,2889,68
1346,1455,16711,79
1347,4365,1263,59
1348,4716,17699,95
1349,4235,6755,21
1350,1660,17761,42
1351,1518,7673,31
1352,1054,11018,12
1353,1083,10752,37
1354,1074,12947,25
1355,4233,15589,80
1356,4072,9895,4
1357,1013,12567,48
1358,4649,19707,96
1359,136,5787,90
1360,3487,13961,4
1361,1811,13902,70
1362,3120,7933,47
1363,895,11784,17
1364,4136,5326,94
1365,4788,4164,5
1366,3211,11028,65
1367,1424,997,76
1368,417,8141,41
1369,2496,5143,51
1370,2262,5556,10
1371,2845,631,25
1372,1691,5943,20
1373,3211,17741,65
1374,4030,13943,39
1375,2096,9212,55
1376,1412,8721,50
1377,1385,16160,19
1378,4411,6647,80
1379,2483,12088,79
1380,3339,5104,56
