TICKET MEDIO,GASTO MENSAL,SCORE SERASA,cluster
4844,15382,25,g1
4513,17610,17,g1
3848,5423,45,g3
4879,19533,69,g1
763,16111,30,g2
2098,15867,92,g1
3545,19699,8,g1
3843,9566,34,g3
1595,3779,80,g3
3404,19868,59,g1
3863,4307,75,g3
1953,14465,62,g2
4759,16623,99,g1
1391,17491,51,g2
3681,1134,47,g3
3557,13271,60,g1
1736,17958,23,g2
3796,18798,73,g1
3099,14840,57,g1
3252,1088,63,g3
798,3731,29,g2
2260,6851,28,g3
4197,4338,9,g3
4837,2473,38,g3
954,14846,54,g2
3574,5544,27,g3
1807,10747,17,g2
2877,12172,40,g1
1833,10771,80,g2
3610,7183,74,g3
302,11744,64,g2
3355,7283,80,g3
4318,6094,99,g3
4596,4322,99,g3
866,3889,45,g2
4489,6414,59,g3
2427,18664,8,g1
3031,4188,44,g3
297,15183,59,g2
2030,13580,27,g2
3682,10416,96,g1
708,5537,2,g2
3372,13953,50,g1
1247,9140,7,g2
4382,581,69,g3
3497,6778,58,g3
2611,16578,60,g1
1894,16036,57,g2
759,18290,69,g2
2911,7910,92,g3
1469,16426,11,g2
2086,16000,8,g1
246,1980,48,g2
3319,9771,82,g3
3011,4098,16,g3
1834,15532,53,g2
1943,8493,43,g2
588,11395,31,g2
3076,15867,34,g1
2059,8144,77,g2
2485,12448,48,g1
3019,18642,53,g1
4836,3099,15,g3
1902,6313,84,g2
4161,4353,11,g3
3469,19176,87,g1
362,2001,97,g2
723,8922,7,g2
1116,8050,20,g2
3743,4750,47,g3
2149,7491,7,g2
3823,16998,27,g1
4648,4906,79,g3
3208,19231,9,g1
4190,1541,51,g3
2156,7427,14,g2
3270,16895,3,g1
1782,8371,89,g2
2355,6875,78,g3
1254,4176,99,g2
4599,13517,95,g1
3291,3565,61,g3
1796,2536,3,g3
4091,3546,40,g3
4823,17424,72,g1
4782,576,98,g3
1748,19951,54,g1
1545,16380,27,g2
4299,16907,46,g1
4023,17559,8,g1
353,4767,1,g2
3283,6488,66,g3
2657,9180,47,g3
198,1985,68,g2
2300,15213,73,g1
3061,2919,27,g3
4533,15812,78,g1
3877,3995,13,g3
2969,17640,45,g1
3334,11216,86,g1
3891,12942,12,g1
1056,18663,15,g2
4167,13461,93,g1
260,10807,39,g2
4593,6987,71,g3
1400,10164,80,g2
4087,16860,29,g1
1627,17142,80,g2
1318,4575,98,g2
4596,18002,64,g1
4835,15785,57,g1
3204,8131,87,g3
2835,3517,47,g3
4655,18542,48,g1
1054,18681,88,g2
4665,1284,1,g3
3546,6191,88,g3
1145,16265,13,g2
1793,3696,96,g3
3536,10052,16,g1
662,9032,30,g2
2585,17446,9,g1
3454,5246,69,g3
325,3499,88,g2
4993,18077,36,g1
1059,11802,63,g2
4648,16952,29,g1
3167,16095,33,g1
915,19312,17,g2
4854,6700,87,g3
4742,5896,62,g3
3220,13910,48,g1
116,13703,55,g2
1343,4098,90,g2
2305,11064,57,g2
2624,13248,26,g1
1169,17457,54,g2
3544,8136,84,g3
2665,18362,18,g1
1160,10765,22,g2
2427,10205,46,g2
3520,14798,78,g1
401,19080,65,g2
4376,10203,98,g1
706,13836,50,g2
3270,8666,83,g3
799,16616,27,g2
1239,6550,56,g2
290,11684,57,g2
2400,13212,14,g1
1080,8984,15,g2
3075,3093,96,g3
1284,10815,46,g2
3427,15700,62,g1
3494,9607,11,g3
227,4369,42,g2
2165,15947,83,g1
1916,8471,28,g2
669,3489,48,g2
1995,5840,2,g3
2833,10143,68,g3
3963,4323,59,g3
4821,13954,65,g1
4114,4432,86,g3
3001,10720,89,g1
1786,9054,25,g2
3109,2929,70,g3
254,7944,73,g2
2637,11010,68,g1
1509,11777,46,g2
4157,11037,75,g1
884,7647,95,g2
3275,8131,41,g3
4441,4098,30,g3
2906,4829,21,g3
637,7218,16,g2
1941,10423,83,g2
2555,14282,19,g1
624,16976,7,g2
3050,551,97,g3
4231,17202,48,g1
4880,10684,86,g1
4215,12968,37,g1
2468,15979,52,g1
3947,7710,27,g3
4595,13434,76,g1
2801,4456,28,g3
1071,6557,71,g2
1266,11710,10,g2
2874,15090,46,g1
2082,14364,44,g2
953,2025,17,g2
4246,13777,49,g1
3836,7543,88,g3
3869,18162,48,g1
674,9205,21,g2
3361,6625,44,g3
1248,8374,60,g2
1815,13029,98,g2
4877,15455,92,g1
3954,3000,20,g3
2591,3964,70,g3
2760,19143,60,g1
3224,16454,75,g1
3151,19543,35,g1
104,755,23,g2
4969,2002,31,g3
976,5156,90,g2
1091,10802,95,g2
4242,5930,58,g3
4464,9098,95,g3
4565,16476,95,g1
735,2360,89,g2
1793,6658,74,g2
1782,6306,81,g2
4852,17606,4,g1
219,9974,15,g2
930,17497,10,g2
3775,6290,34,g3
1469,10670,74,g2
840,9504,41,g2
216,10478,86,g2
2938,17214,97,g1
1250,19096,80,g2
2031,7732,9,g2
1112,13174,81,g2
1764,16552,7,g2
1181,16274,25,g2
4829,6413,2,g3
612,14602,58,g2
2949,15889,87,g1
659,11067,2,g2
3772,6111,37,g3
4683,9932,1,g1
3443,819,98,g3
4170,13186,16,g1
4899,5291,72,g3
1570,829,35,g3
680,9351,85,g2
2394,11810,94,g2
3247,10664,97,g1
4349,18677,87,g1
1779,6203,72,g2
3606,11149,1,g1
2844,13172,84,g1
3456,4655,33,g3
4145,3111,26,g3
1343,19477,36,g2
3218,16979,70,g1
2241,9680,21,g2
3159,9804,67,g3
4648,15110,13,g1
3059,8937,97,g3
2365,10850,22,g2
2579,13021,43,g1
4746,7060,88,g3
1735,5747,64,g2
1857,4577,78,g3
4552,11358,95,g1
2170,11891,77,g2
2949,11446,60,g1
3351,15686,84,g1
3830,1917,54,g3
2589,16994,70,g1
1731,9454,99,g2
2916,14091,84,g1
1115,7891,49,g2
1448,11864,11,g2
4711,10871,78,g1
3187,3004,14,g3
2939,5739,16,g3
435,17176,33,g2
4692,18618,34,g1
995,5620,38,g2
3646,6893,77,g3
951,2696,54,g2
1787,3966,58,g3
2031,2406,4,g3
3846,18605,29,g1
2527,12383,3,g1
1668,15937,14,g2
4100,14997,34,g1
2838,2316,73,g3
3598,11213,54,g1
4013,4349,65,g3
1166,7349,59,g2
4480,1558,23,g3
2544,12230,91,g1
4207,19206,21,g1
3473,17832,43,g1
4069,4859,31,g3
2646,13309,94,g1
853,6160,82,g2
2182,7754,50,g2
2874,13322,84,g1
2996,2593,2,g3
4285,12230,69,g1
875,18447,31,g2
1725,8717,1,g2
3169,17058,87,g1
517,18218,58,g2
214,17205,90,g2
716,12842,72,g2
4074,12739,76,g1
3367,14354,13,g1
925,14397,50,g2
1616,11919,10,g2
3246,10564,77,g1
512,15503,79,g2
828,10759,9,g2
3448,6174,83,g3
2908,5502,79,g3
775,1410,57,g2
3565,1449,33,g3
2604,19398,79,g1
3067,12023,77,g1
2886,11721,52,g1
1222,16984,27,g2
4179,5146,17,g3
1671,7445,25,g2
2243,2900,6,g3
1787,12063,44,g2
4232,19227,97,g1
3951,852,44,g3
3540,19839,70,g1
3866,15989,96,g1
2426,1518,34,g3
3014,18063,51,g1
4052,5693,20,g3
695,16201,27,g2
828,4036,95,g2
1465,15949,43,g2
4592,12342,79,g1
798,19386,55,g2
495,4319,9,g2
4271,17863,22,g1
4460,1476,47,g3
2602,19164,51,g1
1919,6397,14,g2
817,16457,54,g2
2882,15859,42,g1
3677,13740,49,g1
243,607,5,g2
3240,16024,32,g1
4591,2126,61,g3
3038,6729,54,g3
3736,7377,38,g3
3322,1374,11,g3
1267,6043,99,g2
2716,4309,30,g3
1162,11103,73,g2
2256,2607,52,g3
3082,12245,33,g1
3394,9965,40,g3
4829,1059,9,g3
1256,8808,51,g2
832,15750,74,g2
4430,13755,56,g1
4946,3546,77,g3
1053,14356,2,g2
2639,16927,56,g1
3424,1008,32,g3
3401,6607,6,g3
1642,13976,3,g2
1291,3939,38,g2
3093,13636,47,g1
2781,14667,73,g1
1317,17800,78,g2
1640,17682,15,g2
3336,5471,37,g3
2486,18644,3,g1
3819,16383,3,g1
1488,1318,99,g3
1956,10860,26,g2
1465,12427,85,g2
599,16523,85,g2
1780,3565,16,g3
610,3759,97,g2
4412,17790,95,g1
1424,12800,69,g2
1255,1102,53,g3
1927,4795,96,g3
3241,10483,7,g1
3586,4027,52,g3
1910,2311,99,g3
3023,12603,4,g1
2314,9532,68,g2
4286,13377,46,g1
813,8463,73,g2
3702,15724,39,g1
4234,9416,6,g3
3622,7266,11,g3
4368,17686,93,g1
4848,19466,24,g1
4949,2165,27,g3
1343,16432,42,g2
3809,7475,76,g3
1181,3052,46,g2
555,13719,48,g2
994,14774,85,g2
1484,13112,53,g2
2058,3308,17,g3
3172,11590,26,g1
2096,12760,71,g2
4385,15795,5,g1
604,15337,74,g2
1314,15169,92,g2
1631,11023,68,g2
3540,13262,70,g1
923,14269,21,g2
1028,14231,58,g2
233,12377,46,g2
2205,2956,67,g3
3727,5923,31,g3
4880,14746,82,g1
1952,13346,96,g2
4275,4817,0,g3
3033,18440,53,g1
3384,19089,45,g1
4398,13135,40,g1
2911,13970,40,g1
1350,13676,7,g2
3612,9613,31,g3
1356,14046,29,g2
3476,7305,45,g3
3586,17288,91,g1
3684,18504,51,g1
1496,19836,95,g2
3737,8580,88,g3
3430,3618,97,g3
2803,7130,60,g3
570,1065,96,g2
1453,16201,12,g2
2883,15359,88,g1
2931,8170,39,g3
457,19752,60,g2
3119,9976,43,g3
767,9276,61,g2
4568,15521,43,g1
1245,4827,47,g2
4285,15775,73,g1
3819,8114,58,g3
2845,1745,56,g3
639,8743,94,g2
2879,10855,10,g1
4236,1037,24,g3
4935,16424,60,g1
3875,16736,45,g1
2608,17424,53,g1
2879,17698,33,g1
1024,1915,83,g2
3056,11530,6,g1
1681,2152,96,g3
3424,11357,61,g1
4585,19240,56,g1
355,4310,98,g2
4904,17069,92,g1
1938,2051,75,g3
2044,14084,4,g2
109,1261,75,g2
2971,13011,92,g1
897,9971,34,g2
1115,12967,83,g2
1924,6663,36,g2
4569,16565,59,g1
3236,12386,64,g1
2293,18420,15,g1
323,6701,29,g2
4258,16080,72,g1
4025,19654,41,g1
4884,7899,60,g3
4100,17445,73,g1
1733,8123,76,g2
2252,10827,47,g2
610,7687,61,g2
484,2680,83,g2
504,2460,92,g2
4713,5653,63,g3
4671,7535,56,g3
2100,11971,67,g2
2856,1082,45,g3
1768,16014,27,g2
1560,16031,76,g2
3736,17172,2,g1
2824,8479,36,g3
4909,3560,47,g3
4278,14231,18,g1
2148,12794,91,g2
4246,18067,82,g1
4880,14774,16,g1
816,18330,81,g2
4644,16848,81,g1
4683,2403,86,g3
1923,15051,39,g2
2181,15641,49,g1
3519,2877,72,g3
1674,1347,28,g3
349,14880,50,g2
773,18123,41,g2
4633,10024,28,g1
2265,15731,65,g1
870,12198,16,g2
4062,11071,30,g1
4463,12814,91,g1
2084,11929,51,g2
1177,2865,38,g2
335,11104,59,g2
488,11866,93,g2
3137,5555,98,g3
4958,6122,50,g3
1948,17256,83,g1
4819,8283,15,g3
2914,2449,97,g3
3474,17128,13,g1
3378,10532,89,g1
1352,12119,83,g2
4081,17008,41,g1
4773,13324,50,g1
2222,11445,23,g2
4630,2419,81,g3
2250,10327,42,g2
4959,10117,72,g1
1429,10232,18,g2
1458,1030,83,g3
2582,8349,60,g3
4642,7429,93,g3
2117,4849,62,g3
1431,14956,25,g2
4444,11795,94,g1
4361,18685,34,g1
1458,5656,66,g2
4737,9728,55,g3
4954,12420,39,g1
3277,7932,28,g3
2228,12703,5,g2
2280,6689,51,g3
4992,1642,0,g3
237,8114,51,g2
3572,14753,23,g1
2932,18513,33,g1
3679,17646,6,g1
3131,7405,74,g3
4264,5389,10,g3
2693,5339,35,g3
4400,4457,19,g3
3918,1057,62,g3
4238,5121,79,g3
3923,15432,62,g1
4142,1339,68,g3
2006,9743,87,g2
860,10096,29,g2
3545,7498,29,g3
999,10629,96,g2
4555,1010,83,g3
3047,12096,21,g1
1819,13474,60,g2
380,1637,20,g2
3366,14200,36,g1
1987,5166,26,g3
3366,9406,34,g3
766,10978,37,g2
4288,3154,59,g3
771,1490,69,g2
2069,2660,31,g3
4256,15636,79,g1
3222,10836,91,g1
4799,14769,79,g1
4877,16706,26,g1
4000,2563,2,g3
623,11295,48,g2
2493,18861,84,g1
3217,9067,29,g3
2693,9433,21,g3
2068,19551,18,g1
1853,16119,30,g2
2396,5419,19,g3
2361,12241,18,g2
2386,9298,1,g2
4302,17427,39,g1
2978,15066,38,g1
4243,1383,90,g3
3744,9915,71,g3
4532,11585,53,g1
2155,15508,26,g1
4820,18952,78,g1
1376,8620,11,g2
2866,8320,77,g3
402,12401,70,g2
738,18670,16,g2
155,16759,89,g2
4921,10149,83,g1
625,8769,9,g2
4669,12305,18,g1
4223,18192,81,g1
2225,10879,29,g2
3387,9244,29,g3
464,13785,24,g2
4721,8973,87,g3
1746,11179,73,g2
1018,15105,65,g2
2897,11485,95,g1
1631,12891,34,g2
3445,5361,50,g3
2006,19660,70,g1
3186,2096,70,g3
4680,17363,26,g1
2175,10655,9,g2
813,8419,96,g2
1162,10834,42,g2
2076,15128,54,g2
1396,2572,70,g3
225,9987,5,g2
4732,6124,5,g3
3696,1438,76,g3
3383,8676,47,g3
1703,1261,76,g3
166,13441,1,g2
332,2169,82,g2
2256,7628,50,g3
1269,19569,60,g2
2258,12591,18,g2
4306,18815,1,g1
1593,7808,50,g2
4818,1626,25,g3
4107,6521,69,g3
2572,6937,19,g3
2760,7539,22,g3
2839,18087,53,g1
1861,4635,14,g3
3614,15611,5,g1
2075,12464,91,g2
2462,9211,34,g3
976,8404,74,g2
3912,2783,7,g3
3548,2977,56,g3
1412,3593,49,g2
1560,7707,48,g2
2809,9894,87,g3
2424,15341,20,g1
1833,6727,35,g2
1705,13780,70,g2
2663,4035,68,g3
3521,11082,57,g1
3617,3413,62,g3
2497,2840,92,g3
3835,5789,15,g3
2970,1097,5,g3
1260,15525,77,g2
4954,7645,51,g3
342,3402,1,g2
2690,9455,88,g3
1163,8194,94,g2
4424,5330,76,g3
2695,10334,17,g1
1019,10989,80,g2
105,16268,91,g2
567,10864,75,g2
4270,2660,34,g3
103,13768,85,g2
745,14985,38,g2
217,3422,0,g2
3028,4304,36,g3
2651,2868,20,g3
4389,15657,0,g1
946,8593,3,g2
2862,4432,95,g3
1241,12052,57,g2
1910,6108,0,g2
823,13399,12,g2
324,9792,45,g2
4727,10362,46,g1
4308,6031,80,g3
4754,10912,75,g1
2148,6844,6,g3
4849,17259,50,g1
4515,8387,2,g3
1673,18493,49,g2
1928,16658,25,g1
2017,19823,30,g1
4334,18497,99,g1
2126,4179,61,g3
3844,8040,25,g3
1001,9988,66,g2
4885,7574,54,g3
2139,4496,27,g3
109,6195,43,g2
360,14735,80,g2
1773,2866,37,g3
2319,14664,29,g1
2160,7264,65,g3
3813,16027,7,g1
1719,16792,13,g2
420,2114,98,g2
1442,14896,61,g2
2476,19300,74,g1
2932,17380,62,g1
2924,17388,78,g1
2094,6233,65,g3
3058,3716,95,g3
2138,4864,39,g3
3590,12769,12,g1
3777,18361,16,g1
1218,14329,14,g2
1704,5460,32,g2
4127,19281,15,g1
335,8801,12,g2
2069,9341,85,g2
4529,8230,22,g3
2008,18383,35,g1
475,17479,42,g2
3630,1478,49,g3
2735,1230,73,g3
1670,556,80,g3
2660,2743,93,g3
3491,2201,12,g3
3065,18170,29,g1
3743,8803,56,g3
3950,15600,29,g1
972,13498,70,g2
1352,9893,9,g2
1414,1447,98,g3
4920,7053,65,g3
2998,1257,93,g3
177,15366,82,g2
2721,12080,38,g1
4327,6151,36,g3
700,7773,2,g2
1165,10533,88,g2
2236,4035,33,g3
2549,19177,85,g1
2443,17988,37,g1
1963,9353,13,g2
1418,1408,63,g3
4811,5117,38,g3
3697,10548,53,g1
3862,2811,1,g3
4770,16520,95,g1
2290,17673,42,g1
1092,14085,52,g2
2812,14517,2,g1
2292,17055,40,g1
1348,13052,7,g2
3154,13837,89,g1
4698,2385,95,g3
4133,1549,74,g3
2097,11003,62,g2
3787,1661,64,g3
2251,1315,78,g3
4118,4266,3,g3
3210,3739,67,g3
2070,14442,91,g2
297,8772,9,g2
2726,19688,74,g1
1302,1369,49,g3
2135,6026,22,g3
577,8241,60,g2
1354,5194,46,g2
1022,2434,2,g2
519,17587,16,g2
2304,16818,21,g1
2697,19407,90,g1
1220,19523,15,g2
3168,6659,79,g3
1050,16219,2,g2
2436,13493,51,g1
2343,14313,32,g1
2745,1664,41,g3
1957,1119,1,g3
4712,8482,38,g3
1965,3566,45,g3
3012,9138,47,g3
2953,2837,26,g3
3328,6094,14,g3
3819,2960,6,g3
3328,7320,56,g3
2471,3942,41,g3
2991,16691,8,g1
3856,19595,5,g1
4325,16826,56,g1
194,11029,75,g2
2774,18175,29,g1
2055,10890,54,g2
893,14530,83,g2
1934,5874,83,g3
2216,13642,53,g2
4206,19539,26,g1
3425,12704,83,g1
3019,7894,58,g3
2697,17588,6,g1
3305,1325,39,g3
4907,9696,93,g3
914,12152,71,g2
445,17260,1,g2
2449,1472,13,g3
462,11768,9,g2
2543,943,49,g3
2365,1254,17,g3
2288,16523,17,g1
3105,10863,15,g1
3381,11397,51,g1
1084,5896,68,g2
1739,3965,51,g3
927,3211,30,g2
2830,19291,83,g1
3631,6247,22,g3
4551,18607,95,g1
3035,2419,41,g3
3976,17802,80,g1
226,13973,61,g2
3277,17465,76,g1
3156,14735,49,g1
703,16210,76,g2
3549,14934,80,g1
4246,13978,14,g1
3633,4381,89,g3
3467,2499,43,g3
3468,15349,91,g1
3897,11403,41,g1
1892,17284,44,g1
2961,15200,93,g1
3576,5945,34,g3
3517,3128,21,g3
1745,18540,73,g1
1305,17504,74,g2
3130,746,37,g3
2972,5712,96,g3
3172,3839,69,g3
1954,19894,63,g1
4121,2868,6,g3
4762,12686,43,g1
2808,2339,75,g3
3602,19787,6,g1
1432,6705,65,g2
301,4895,59,g2
3607,15790,0,g1
4312,4191,61,g3
674,7970,86,g2
636,4341,88,g2
1725,4848,17,g2
2222,18276,6,g1
485,6560,53,g2
3381,16025,66,g1
574,4800,92,g2
517,3838,9,g2
3700,5987,60,g3
1054,4014,58,g2
4958,17643,58,g1
1305,11780,68,g2
4859,10807,62,g1
4220,10415,97,g1
2090,11658,7,g2
4905,9121,77,g3
3672,11047,54,g1
4480,13985,5,g1
4258,2959,0,g3
4857,5773,55,g3
2813,18602,96,g1
2303,9957,74,g2
3220,5923,87,g3
1066,18192,9,g2
3532,17934,22,g1
788,5979,15,g2
4343,15919,15,g1
3801,2749,55,g3
441,3309,94,g2
1824,3421,5,g3
4522,5176,29,g3
1892,2917,62,g3
1859,17416,0,g1
3312,13963,50,g1
1089,8667,88,g2
2362,1969,45,g3
2582,7792,20,g3
1051,7431,98,g2
822,1591,37,g2
3489,16863,68,g1
2179,760,62,g3
2817,10956,49,g1
2432,13935,11,g1
3476,9877,68,g3
4624,16313,72,g1
1600,4801,43,g2
385,7707,51,g2
3595,16976,8,g1
2165,9056,98,g2
868,14295,64,g2
3157,6625,9,g3
4389,2424,45,g3
2261,19979,99,g1
3393,7183,57,g3
1046,19422,36,g2
3435,19160,51,g1
4250,13831,98,g1
4995,10445,80,g1
4973,17794,12,g1
1581,806,5,g3
2001,4731,57,g3
3551,6528,47,g3
4164,12707,31,g1
154,7158,10,g2
1923,6836,80,g2
3562,14396,4,g1
3179,10130,5,g1
932,17756,73,g2
4508,1641,96,g3
2906,17549,93,g1
2590,8900,20,g3
427,1451,41,g2
3410,9749,80,g3
3400,13436,26,g1
3775,14955,2,g1
3154,5222,59,g3
2243,13312,92,g2
1411,4508,65,g2
3291,10560,92,g1
2638,13556,48,g1
4083,7155,99,g3
4647,17655,33,g1
264,13527,36,g2
4377,4530,41,g3
922,1021,64,g2
1043,1900,59,g2
4525,12430,89,g1
874,4223,0,g2
2298,7079,58,g3
3256,18742,3,g1
4342,5281,13,g3
3795,13373,17,g1
3552,19282,33,g1
1014,17026,0,g2
1408,11543,52,g2
4277,16875,21,g1
613,17601,79,g2
2020,1142,60,g3
3694,19432,21,g1
4941,12385,49,g1
1509,8049,15,g2
4902,13897,27,g1
4666,15574,91,g1
3290,14271,85,g1
4591,1449,69,g3
1655,17405,88,g2
904,15232,41,g2
1379,17238,65,g2
3677,18366,70,g1
3001,10339,80,g3
1487,13323,34,g2
4788,19099,19,g1
2861,19421,1,g1
2779,15190,6,g1
2206,6839,95,g3
4323,11456,48,g1
4931,4265,82,g3
2868,3327,75,g3
4053,2558,8,g3
3286,12019,26,g1
3380,1230,77,g3
2673,2332,1,g3
4716,9100,84,g3
2699,16118,67,g1
4133,7670,59,g3
336,4679,84,g2
1404,6799,85,g2
3530,8330,48,g3
1401,11939,1,g2
2641,5302,16,g3
2151,7115,82,g3
541,7262,87,g2
2176,6043,19,g3
3280,5383,75,g3
2757,16239,88,g1
3898,1166,86,g3
904,776,97,g2
174,14563,31,g2
2275,1381,50,g3
4024,2560,87,g3
2189,15177,41,g1
140,18966,62,g2
2181,7202,88,g3
4783,9929,60,g1
1722,16353,61,g2
441,658,2,g2
4152,16496,88,g1
2174,5729,91,g3
745,8456,75,g2
4926,13066,25,g1
4363,3026,47,g3
709,8303,7,g2
554,7074,4,g2
3053,9233,10,g3
1808,18022,41,g1
3572,7757,98,g3
3069,3783,90,g3
3128,16409,40,g1
4897,12302,18,g1
2781,8396,47,g3
3729,19303,52,g1
4325,14026,54,g1
3167,18640,60,g1
1486,11778,31,g2
3876,13742,45,g1
2966,19190,91,g1
4888,3070,35,g3
3463,824,17,g3
4989,10221,73,g1
4224,6145,95,g3
248,18829,17,g2
3950,14904,11,g1
2158,4986,71,g3
1236,2930,96,g2
286,17729,45,g2
2954,13656,54,g1
1350,1067,37,g3
1433,2679,77,g3
4293,2519,1,g3
4250,16419,8,g1
2811,19204,4,g1
4953,18530,97,g1
4601,4409,18,g3
1885,8515,70,g2
850,3920,38,g2
1862,15385,41,g2
4020,17240,16,g1
4560,7985,62,g3
581,19965,89,g2
253,19164,45,g2
1624,4631,90,g2
2220,11152,91,g2
2443,14879,19,g1
1340,15403,69,g2
160,16413,7,g2
1038,19671,95,g2
1739,9970,18,g2
4220,17349,31,g1
4326,12040,18,g1
3669,18371,23,g1
1352,5097,23,g2
4303,5036,55,g3
271,17209,80,g2
1558,10457,17,g2
3649,4662,11,g3
4297,803,40,g3
2422,5567,86,g3
1736,5524,47,g2
3215,8215,81,g3
4190,11726,63,g1
3104,3131,15,g3
429,13912,79,g2
3740,15537,99,g1
3994,12147,22,g1
4207,13069,85,g1
1441,2869,38,g3
3763,12159,32,g1
315,1028,23,g2
438,11002,60,g2
4162,5175,54,g3
2808,18547,60,g1
3252,2841,83,g3
1850,14419,96,g2
2521,15230,94,g1
809,15756,39,g2
3826,5405,57,g3
3742,16039,71,g1
4093,15755,73,g1
588,9384,0,g2
146,9643,84,g2
3459,6450,24,g3
4973,1860,95,g3
4906,5627,52,g3
500,14752,60,g2
4090,9230,45,g3
3257,4425,73,g3
4445,8963,59,g3
490,17912,50,g2
3953,1742,72,g3
4530,9284,83,g3
728,10297,47,g2
4332,6906,83,g3
3030,14465,39,g1
1621,14233,6,g2
926,18324,74,g2
4922,4126,84,g3
1600,10574,18,g2
3394,17068,14,g1
2519,8531,69,g3
1034,3688,60,g2
3142,3445,55,g3
4597,7265,9,g3
1566,19358,45,g2
3661,11307,79,g1
714,10704,74,g2
1282,9852,56,g2
3323,5099,34,g3
2767,4813,71,g3
230,2718,91,g2
3083,14286,2,g1
4378,18036,65,g1
4559,556,52,g3
138,13033,77,g2
4059,643,51,g3
3687,7718,92,g3
1020,9059,52,g2
2869,1115,53,g3
4211,8562,46,g3
592,12020,2,g2
1231,6477,64,g2
3621,11919,14,g1
410,10280,83,g2
838,11181,85,g2
3341,7484,33,g3
645,5471,49,g2
2561,1444,32,g3
4446,9614,72,g3
4954,7578,2,g3
1904,18630,1,g1
3312,12812,3,g1
3910,6283,15,g3
913,10251,53,g2
4224,7407,32,g3
2132,19810,8,g1
4672,17973,56,g1
4513,3457,39,g3
344,19496,51,g2
4943,6547,81,g3
4892,6749,15,g3
371,16847,7,g2
3611,4259,86,g3
1871,4763,59,g3
1362,10781,35,g2
2524,2402,2,g3
4461,3067,14,g3
1020,10690,96,g2
3530,8575,81,g3
4535,3494,22,g3
4584,5729,2,g3
2724,2510,29,g3
3860,7877,44,g3
2150,13536,16,g2
3600,17714,57,g1
1265,548,57,g3
475,4710,95,g2
2133,18062,56,g1
245,15338,6,g2
4488,16538,38,g1
531,8378,77,g2
